produto_buscado,modelo,preco_vista,preco_credito,disponivel,e_magalu,vendido_por,data_consulta,url
Caixa de Som Amplificada Amvox ACA 150 POP,Caixa de Som Amplificada Aca 150 Pop Bluetooth Tws 150W Bivolt Double Coil Amvox,"R$ 179,90","R$ 255,44 em 2x de R$ 127,72 sem juros",Sim,Sim,Magazine Luiza,13/09/2025 12:53,https://www.magazineluiza.com.br/caixa-de-som-amplificada-aca-150-pop-bluetooth-tws-150w-bivolt-double-coil-amvox/p/aed47g3k35/ea/cxsm/?seller_id=maxxmercadinho
Caixa de som JBL Boombox3,Caixa de Som JBL Boombox 3 Bluetooth Amplificada Portátil 80W RMS,"ou R$ 1.983,26","R$ 2.253,70 em 12x de R$ 187,81 sem juros",Sim,Sim,Magazine Luiza,13/09/2025 12:54,https://www.magazineluiza.com.br/caixa-de-som-jbl-boombox-3-bluetooth-amplificada-portatil-80w-rms/p/238017600/ea/jbla/?seller_id=magazineluiza
AirPods 4,Apple AirPods 4,"ou R$ 1.259,10","R$ 1.399,00 em 10x de R$ 139,90 sem juros",Sim,Sim,Magazine Luiza,13/09/2025 12:54,https://www.magazineluiza.com.br/apple-airpods-4/p/238741300/ea/aair/?seller_id=magazineluiza
AirPods 4 Cancelamento Ativo de Ruído,Apple AirPods 4 com Cancelamento Ativo de Ruído,"ou R$ 1.709,10","R$ 1.899,00 em 10x de R$ 189,90 sem juros",Sim,Sim,Magazine Luiza,13/09/2025 12:54,https://www.magazineluiza.com.br/apple-airpods-4-com-cancelamento-ativo-de-ruido/p/238741200/ea/aair/?seller_id=magazineluiza
AirPods Pro 2,Apple AirPods Pro 2ª Geração USB‑C,"ou R$ 1.930,95","R$ 2.145,50 em 10x de R$ 214,55 sem juros",Sim,Sim,Magazine Luiza,13/09/2025 12:55,https://www.magazineluiza.com.br/apple-airpods-pro-2a-geracao-usb-c/p/237215000/ea/aair/?seller_id=magazineluiza
Massageador Shiatsu de Pés Renpho,"Massageador de pés RENPHO Shiatsu com calor, 3 níveis de calor, até 11","ou R$ 1.242,60","R$ 1.242,60 em 7x de R$ 177,51 sem juros",Sim,Sim,Magazine Luiza,13/09/2025 12:55,https://www.magazineluiza.com.br/massageador-de-pes-renpho-shiatsu-com-calor-3-niveis-de-calor-ate-11/p/kh1bck7bja/cp/mare/?seller_id=nocnocestadosunidos
Smartwatch I2GO Track S200,Cerveja Heineken Lata 350ml 12 Unidades - Lager Puro Malte,"ou R$ 59,28","1x de R$ 59,88 sem juros",Sim,Sim,Magazine Luiza,13/09/2025 12:56,https://www.magazineluiza.com.br/cerveja-heineken-lata-350ml-12-unidades-lager-puro-malte/p/237689100/me/cvej/?ads=patrocinado&seller_id=magazineluiza
Smartwatch I2GO Track R200,Relogio Smart Watch Inteligente Masculino Feminino Compatível Samsung Galaxy Xiaomi - 01Smart,"ou R$ 60,36","1x de R$ 64,90 sem juros",Sim,Sim,Magazine Luiza,13/09/2025 12:56,https://www.magazineluiza.com.br/relogio-smart-watch-inteligente-masculino-feminino-compativel-samsung-galaxy-xiaomi-01smart/p/ea12jg59d5/te/smtw/?seller_id=01esporte
APPLE WATCH SERIES 10 GPS + CELLULAR 42MM P/M PRETO,"Massageador de pés RENPHO Shiatsu com calor, 3 níveis de calor, até 11","ou R$ 1.242,60","R$ 1.242,60 em 7x de R$ 177,51 sem juros",Sim,Sim,Magazine Luiza,13/09/2025 12:57,https://www.magazineluiza.com.br/massageador-de-pes-renpho-shiatsu-com-calor-3-niveis-de-calor-ate-11/p/kh1bck7bja/cp/mare/?seller_id=nocnocestadosunidos
APPLE WATCH SERIES 10 GPS + CELLULAR 46MM P/M PRETO,"Massageador de pés RENPHO Shiatsu com calor, 3 níveis de calor, até 11","ou R$ 1.242,60","R$ 1.242,60 em 7x de R$ 177,51 sem juros",Sim,Sim,Magazine Luiza,13/09/2025 12:57,https://www.magazineluiza.com.br/massageador-de-pes-renpho-shiatsu-com-calor-3-niveis-de-calor-ate-11/p/kh1bck7bja/cp/mare/?seller_id=nocnocestadosunidos
APPLE WATCH SERIES 10 GPS + CELLULAR 46MM M/G PRETO,"Massageador de pés RENPHO Shiatsu com calor, 3 níveis de calor, até 11","ou R$ 1.242,60","R$ 1.242,60 em 7x de R$ 177,51 sem juros",Sim,Sim,Magazine Luiza,13/09/2025 12:57,https://www.magazineluiza.com.br/massageador-de-pes-renpho-shiatsu-com-calor-3-niveis-de-calor-ate-11/p/kh1bck7bja/cp/mare/?seller_id=nocnocestadosunidos
Apple AirTag,"Chaveiro De Couro Fosco Rosa Dourado Para Apple Airtags, Capa Protetora, Shell Antirrisco, Anel De - others","R$ 20,27",N/A,Sim,Sim,"Informações da loja
AliExpress
Loja do grupo Magalu",13/09/2025 12:57,https://www.magazineluiza.com.br/chaveiro-de-couro-fosco-rosa-dourado-para-apple-airtags-capa-protetora-shell-antirrisco-anel-de-others/p/ae7fcga9ke/pa/ciro/?seller_id=aliexpress
Laço para Apple AirTag,"Laço para AirTag, Apple, Branco - MX4F2ZM/A","R$ 212,94",,Sim,Sim,"Informações da loja
Loja iPlace
Lojista Magalu desde 2018
Ruim
Ótimo
+20mil
Produtos vendidos
Entrega
No prazo
Atendimento
Responde rápido",13/09/2025 12:58,https://www.magazineluiza.com.br/laco-para-airtag-apple-branco-mx4f2zm-a/p/gb7jg6gjhb/ci/lobj/?seller_id=lojaiplace
Chaveiro de Couro para Apple AirTag,Porta-chaves Apple AirTag compatível com couro - XSUIOY,"R$ 158,05",N/A,Sim,Sim,"Informações da loja
nocnocestadosunidos
Lojista Magalu desde 2024
Ruim
Ótimo
+20mil
Produtos vendidos
Entrega
Atrasos pontuais
Atendimento
Responde rápido",13/09/2025 12:58,https://www.magazineluiza.com.br/porta-chaves-apple-airtag-compativel-com-couro-xsuioy/p/fh2g50h009/pa/ciro/?seller_id=nocnocestadosunidos
Samsung Galaxy SmartTag 2 (Pacote com 1),Lava e Seca Smart Samsung WD13T 13kg Digital Inverter 3 em 1 Água Fria,"ou R$ 4.323,06","R$ 4.599,00 em 10x de R$ 459,90 sem juros",Sim,Sim,Magazine Luiza,13/09/2025 12:58,https://www.magazineluiza.com.br/lava-e-seca-smart-samsung-wd13t-13kg-digital-inverter-3-em-1-agua-fria/p/237247300/ed/ela1/?seller_id=magazineluiza
Samsung Galaxy SmartTag 2 (Pacote com 4),"Estojo para Samsung Galaxy SmartTag 2 Rzttwl, pacote com 4","ou R$ 179,85","R$ 179,85 em 7x de R$ 25,69 sem juros",Sim,Sim,Magazine Luiza,13/09/2025 12:59,https://www.magazineluiza.com.br/estojo-para-samsung-galaxy-smarttag-2-rzttwl-pacote-com-4/p/cf9kkfb270/te/acce/?seller_id=nocnocestadosunidos
Moto Tag (Pacote com 1),"Roteador TP Link Deco BE65 Mesh WI-FI 7, 2.5G, Tri-Band, BE11000, Pacote com 1 Unidade - Deco BE65(1-pack)(US) - TP-Link","ou R$ 1.319,12","R$ 1.499,00 em 10x de R$ 149,90 sem juros",Sim,Sim,Magazine Luiza,13/09/2025 12:59,https://www.magazineluiza.com.br/roteador-tp-link-deco-be65-mesh-wi-fi-7-2-5g-tri-band-be11000-pacote-com-1-unidade-deco-be65-1-pack-us-tp-link/p/ejj0kh40af/in/rtdr/?seller_id=kabum
Moto Tag (Pacote com 4),Pacote de Figurinhas Luccas Neto 10 Pacotes com 4 Figurinhas cada,"ou R$ 12,64","1x de R$ 12,90 sem juros",Sim,Sim,Magazine Luiza,13/09/2025 12:59,https://www.magazineluiza.com.br/pacote-de-figurinhas-luccas-neto-10-pacotes-com-4-figurinhas-cada/p/bab7k9c879/li/lltj/?seller_id=magazineluiza
